#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,World,"177,086,088","+64,266","3,829,038","+1,437","161,294,735","+84,758","11,962,315","84,444","22,718",491.2,,,,All,,,,,,,
47,Greece,"415,401",,"12,437 ",,"393,123",,"9,841",353,"40,041","1,199","10,079,010","971,519","10,374,487 ",Europe,258341,,,949
48,Bolivia,"409,106","+2,152","15,614 ",+72,"324,028","+2,363","69,464",200,"34,599","1,321","1,646,029","139,208","11,824,220 ",South America,297577,182,6,"5,875"
49,Belarus,"406,360",,"2,987 ",,"399,174",,"4,199",,"43,018",316,"6,544,800","692,838","9,446,361 ",Europe,"233,1621",,,445
50,Kazakhstan,"402,996",+757,"4,180 ",+9,"378,707","+1,065","20,109",221,"21,221",220,"11,575,012","609,529","18,990,078 ",Asia,"474,5432",40,0.5,"1,059"
51,Paraguay,"393,482",,"10,954 ",,"327,670",,"54,858",617,"54,531","1,518","1,416,727","196,338","7,215,765 ",South America,186595,,,"7,603"
52,Slovakia,"391,087",+49,"12,446 ",+5,"377,425",+143,"1,216",45,"71,599","2,279","2,899,336","530,804","5,462,162 ",Europe,144392,9,0.9,223
53,Panama,"388,325",,"6,451 ",,"372,341",,"9,533",105,"88,674","1,473","2,805,213","640,573","4,379,224 ",North America,116792,,,"2,177"
54,Tunisia,"370,224",,"13,567 ",,"323,201",,"33,456",424,"31,017","1,137","1,568,353","131,395","11,936,154 ",Africa,328808,,,"2,803"
55,Croatia,"358,677",+96,"8,160 ",+8,"349,750",+168,767,28,"87,887","1,999","2,086,716","511,311","4,081,110 ",Europe,115002,24,2,188
56,Georgia,"355,368","+1,092","5,083 ",+23,"341,103",+775,"9,182",,"89,247","1,277","5,400,005","1,356,149","3,981,867 ",Asia,117831,274,6,"2,306"
57,Costa Rica,"343,604",,"4,388 ",,"262,852",,"76,364",485,"66,871",854,"1,351,949","263,110","5,138,345 ",North America,"151,1714",,,"14,862"
58,Uruguay,"340,818",,"5,036 ",,"303,880",,"31,902",443,"97,790","1,445","2,556,998","733,675","3,485,193 ",South America,106921,,,"9,154"
59,Azerbaijan,"335,196",,"4,955 ",,"328,699",,"1,542",,"32,779",485,"3,627,573","354,738","10,226,069 ",Asia,"312,0643",,,151
60,Kuwait,"329,526",,"1,828 ",,"311,559",,"16,139",172,"76,094",422,"2,763,860","638,228","4,330,523 ",Asia,"132,3692",,,"3,727"
61,Palestine,"311,690",,"3,539 ",,"304,138",,"4,013",13,"59,783",679,"1,859,716","356,698","5,213,698 ",Asia,"171,4733",,,770
62,Dominican Republic,"309,477",,"3,708 ",,"252,803",,"52,966",475,"28,259",339,"1,627,049","148,571","10,951,312 ",North America,"352,9537",,,"4,836"
63,Denmark,"290,111",,"2,526 ",,"279,072",,"8,513",20,"49,919",435,"62,737,139","10,795,115","5,811,623 ",Europe,"202,3010",,,"1,465"
64,Lithuania,"277,942",+129,"4,348  ",+4,"264,037",+595,"9,557",88,"103,479","1,619","3,619,766","1,347,648","2,685,987 ",Europe,106181,48,1,"3,558"
65,Ethiopia,"274,346",,"4,250 ",,"251,107",,"18,989",238,"2,332",36,"2,791,959","23,729","117,658,580 ",Africa,"42927,68442",,,161
66,Egypt,"273,795",,"15,654 ",,"201,739",,"56,402",90,"2,628",150,"2,869,589","27,549","104,164,359 ",Africa,"3806,65436",,,541
67,Guatemala,"271,990",,"8,465 ",,"247,134",,"16,391",5,"14,920",464,"1,498,396","82,195","18,229,810 ",North America,"672,15412",,,899
68,Ireland,"267,061",,"4,941 ",,"250,376",,"11,744",23,"53,517",990,"4,729,538","947,766","4,990,198 ",Europe,"191,0101",,,"2,353"
69,Bahrain,"259,523",,"1,236 ",,"246,074",,"12,213",276,"147,676",703,"4,831,727","2,749,399","1,757,376 ",Asia,"71,4220",,,"6,950"
70,Slovenia,"256,581",+112,"4,408 ",+2,"249,642",+321,"2,531",40,"123,403","2,120","1,321,072","635,372","2,079,210 ",Europe,84722,54,1.0,"1,217"
71,Moldova,"255,830",,"6,154 ",,"248,733",,943,56,"63,560","1,529","1,181,446","293,525","4,025,024 ",Europe,166543,,,234
72,Venezuela,"252,883",,"2,845 ",,"233,028",,"17,010",287,"8,917",100,"3,359,014","118,446","28,359,115 ",South America,"1129,9688",,,600
73,Honduras,"248,115",+387,"6,653 ",+22,"89,324","+1,160","152,138",570,"24,678",662,"753,629","74,957","10,054,093 ",North America,"411,51113",38,2,"15,132"
74,Oman,"236,440",,"2,532 ",,"211,494",,"22,414",373,"45,213",484,"1,550,000","296,395","5,229,513 ",Asia,"222,0653",,,"4,286"
75,Sri Lanka,"225,922",,"2,260 ",,"190,464",,"33,198",,"10,509",105,"3,633,410","169,006","21,498,720 ",Asia,"959,5136",,,"1,544"
76,Armenia,"223,805",+82,"4,489 ",+1,"215,455",+227,"3,861",,"75,393","1,512","1,131,239","381,079","2,968,518 ",Asia,136613,28,0.3,"1,301"
77,Qatar,"219,887",,579 ,,"217,143",,"2,165",85,"78,313",206,"2,084,963","742,560","2,807,805 ",Asia,"134,8491",,,771
78,Bosnia and Herzegovina,"204,668",,"9,495 ",,"177,976",,"17,197",,"62,756","2,911","1,004,976","308,148","3,261,346 ",Europe,163433,,,"5,273"
79,Thailand,"202,264","+3,000","1,485 ",+19,"157,944",,"42,835","1,169","2,891",21,"8,129,670","116,193","69,966,781 ",Asia,"34647,1169",43,0.3,612
80,Libya,"189,555",+271,"3,166 ",+1,"175,226",+250,"11,163",,"27,235",455,"1,074,250","154,346","6,960,018 ",Africa,"372,1986",39,0.1,"1,604"
81,Kenya,"175,681",,"3,421 ",,"120,359",,"51,901",113,"3,200",62,"1,870,479","34,075","54,893,177 ",Africa,"31216,04629",,,945
82,Nigeria,"167,078",,"2,117 ",,"163,469",,"1,492",11,792,10,"2,231,409","10,577","210,974,843 ",Africa,"1,26399,65795",,,7
83,Cuba,"159,057",,"1,098 ",,"150,855",,"7,104",150,"14,051",97,"4,638,018","409,718","11,320,027 ",North America,"7110,3102",,,628
84,North Macedonia,"155,540",,"5,472 ",,"149,642",,426,25,"74,661","2,627","835,436","401,017","2,083,292 ",Europe,133812,,,204
85,S. Korea,"148,647",+374,"1,992 ",+4,"139,733",+711,"6,922",158,"2,897",39,"10,196,470","198,718","51,311,222 ",Asia,"34525,7595",7,0.08,135
86,Myanmar,"145,826",,"3,248 ",,"132,969",,"9,609",,"2,663",59,"2,651,053","48,415","54,756,817 ",Asia,"37516,85921",,,175
87,Latvia,"136,247",+143,"2,464 ",+8,"130,823",,"2,960",48,"73,005","1,320","2,800,238","1,500,438","1,866,280 ",Europe,147571,77,4,"1,586"
88,Algeria,"133,742",,"3,579 ",,"93,094",,"37,069",30,"2,999",80,"230,861","5,176","44,601,969 ",Africa,"33312,462193",,,831
89,Albania,"132,461",,"2,453 ",,"129,865",,143,18,"46,077",853,"760,285","264,465","2,874,802 ",Europe,"221,1724",,,50
90,Estonia,"130,599",+61,"1,266 ",,"125,929",+131,"3,404",5,"98,388",954,"1,479,570","1,114,650","1,327,385 ",Europe,"101,0481",46,,"2,564"
91,Norway,"128,277",,789 ,,"88,952",,"38,536",10,"23,487",144,"5,847,413","1,070,649","5,461,559 ",Europe,"436,9221",,,"7,056"
92,Zambia,"113,134",,"1,416 ",,"98,994",,"12,724",664,"5,995",75,"1,697,859","89,973","18,870,721 ",Africa,"16713,32711",,,674
93,Kyrgyzstan,"111,343",+514,"1,905 ",+6,"103,257",+367,"6,181",102,"16,803",287,"1,201,473","181,318","6,626,320 ",Asia,"603,4786",78,0.9,933
94,Uzbekistan,"104,113",+300,709 ,+1,"99,986",+253,"3,418",23,"3,068",21,"1,377,915","40,611","33,929,687 ",Asia,"32647,85625",9,0.03,101
